users,rps,min,avg,sd,median,max
1,691.68,1,1,0.6,1,6
2,1117.25,1,2,0.9,1,9
3,1552.41,1,2,0.7,2,11
4,1763.43,1,2,0.7,2,11
5,1968.82,1,3,0.5,2,13
6,2118.76,2,3,0.4,3,12
7,2210.32,2,3,0.5,3,15
8,2306.99,2,3,0.5,3,15
9,2352.75,2,4,0.6,4,15
10,2434.30,2,4,0.5,4,14
11,2465.16,2,4,0.5,4,15
12,2432.64,2,5,0.6,5,22
13,2496.31,3,5,0.5,5,18
14,2654.26,2,5,0.6,5,15
15,2560.30,2,6,0.7,6,22
16,2546.32,2,6,0.7,6,23
17,2596.11,3,7,0.7,7,29
18,2659.06,6,7,0.6,7,19
19,2703.23,6,7,0.7,7,20
20,2655.56,5,8,0.7,8,24
25,2747.13,8,9,0.8,9,26
30,2780.72,8,11,1.1,11,26
35,2828.54,10,12,1.0,12,26
40,2889.88,4,14,1.3,14,31
45,2894.70,13,16,1.4,15,33
50,2866.71,14,17,1.7,17,35
55,2864.77,17,19,1.7,19,37
60,2909.49,15,21,1.7,21,41
65,2915.95,6,22,1.7,22,39
70,2920.38,10,24,1.9,24,44
75,3001.21,22,25,1.9,25,41
80,3002.39,23,27,1.7,27,41
85,2976.76,24,29,1.8,28,46
90,2959.95,25,30,2.1,30,45
95,2983.03,27,32,2.4,32,50
100,3019.40,27,33,2.1,33,49
150,3185.75,42,47,2.6,47,64
200,3036.36,58,66,2.9,66,84
250,3045.88,73,82,3.5,82,113
300,3060.15,84,98,4.7,98,125
350,3099.64,102,113,5.0,113,154
400,3136.57,101,127,4.5,126,168
450,3043.37,113,147,5.6,147,188
500,3092.28,124,161,4.9,161,210
550,3037.38,131,181,7.6,180,246
600,3020.63,143,198,8.5,197,275
650,2993.07,184,217,7.7,217,288
700,2870.27,206,243,12.3,242,344
750,2888.49,225,258,12.8,257,354
800,2911.38,226,274,19.8,273,375
850,2961.16,238,286,15.0,284,400
900,2973.38,250,301,14.2,300,434
950,2955.08,289,320,14.6,318,381
