users,rps,min,avg,sd,median,max
1,578.99,2,2,0.1,2,3
2,938.30,2,2,0.1,2,5
3,1185.39,2,3,0.1,2,6
4,1349.18,2,3,0.1,3,5
5,1489.47,2,3,0.1,3,8
6,1580.22,2,4,0.2,4,9
7,1695.05,2,4,0.2,4,7
8,1750.36,3,5,0.2,5,8
9,1809.91,3,5,0.2,5,9
10,1863.35,4,5,0.2,5,10
11,1909.43,3,6,0.2,6,11
12,1966.94,4,6,0.2,6,10
13,1980.98,5,7,0.2,7,10
14,2005.31,2,7,0.3,7,12
15,2023.49,3,7,0.3,7,11
16,2078.73,7,8,0.2,8,10
17,2107.30,3,8,0.3,8,12
18,2109.46,5,9,0.3,9,12
19,2115.11,7,9,0.4,9,11
20,2139.35,7,9,0.4,9,12
25,2214.17,10,11,0.4,11,14
30,2279.54,11,13,0.4,13,15
35,2304.52,9,15,0.5,15,19
40,2327.13,14,17,0.6,17,21
45,2376.40,16,19,0.6,19,23
50,2337.08,13,21,0.7,21,25
55,2356.80,17,23,0.8,23,28
60,2387.01,22,25,0.8,25,30
65,2372.41,23,27,1.0,27,32
70,2440.62,27,29,1.0,28,34
75,2408.57,27,31,1.1,31,36
80,2449.02,31,33,0.9,32,39
85,2373.51,32,36,1.1,36,41
90,2402.77,33,37,1.2,38,42
95,2505.91,35,38,1.2,37,44
100,2426.88,38,41,1.3,41,47
150,2412.03,38,62,2.1,62,69
200,2372.17,67,84,2.0,84,91
250,2438.75,95,102,3.0,102,132
300,2383.45,117,126,3.1,125,136
350,2412.34,116,145,4.0,145,158
400,2291.83,163,174,4.0,176,190
450,2330.72,178,192,4.6,192,209
500,2331.72,178,214,5.2,214,228
550,2366.39,218,232,5.7,231,249
600,2309.45,243,259,5.9,258,284
650,2336.08,234,277,30.9,276,1269
700,2310.47,254,303,6.8,303,325
750,2314.76,303,322,8.0,322,353
800,2334.46,322,342,8.1,343,365
850,2310.21,297,367,8.3,367,393
900,2360.75,358,378,9.6,376,419
950,2358.21,378,400,8.1,401,433
1000,2322.26,408,426,8.5,424,463
