users,rps,min,avg,sd,median,max
1,936.28,1,1,0.1,1,4
2,1811.77,1,1,0.2,1,5
3,1937.34,1,2,0.4,2,5
4,2197.53,1,2,0.3,2,7
5,2293.95,1,2,0.5,2,6
6,2455.99,1,2,0.5,2,6
7,2507.52,1,3,0.5,3,8
8,2855.82,1,3,0.6,3,7
9,2969.94,1,3,0.6,3,8
10,3316.99,1,3,0.6,3,8
11,3366.10,1,3,0.6,3,8
12,3677.99,1,3,0.6,3,8
13,3682.10,1,4,0.7,3,11
14,3858.47,1,4,0.7,4,8
15,3919.34,1,4,0.7,4,10
16,4011.56,1,4,0.7,4,10
17,4065.00,1,4,0.8,4,10
18,4200.88,1,4,0.8,4,10
19,4221.78,1,4,0.8,4,11
20,4334.14,1,5,1.0,4,15
25,4622.89,1,5,1.0,5,15
30,4815.86,2,6,1.1,6,14
35,5012.89,2,7,1.3,7,14
40,5185.73,1,8,1.7,8,19
45,5280.42,3,9,1.6,8,20
50,5384.93,3,9,1.8,9,21
55,5523.77,2,10,2.3,10,19
60,5604.43,4,11,2.4,11,19
65,5683.88,4,11,2.8,11,23
70,5729.09,4,12,3.0,12,24
75,5778.98,2,13,3.4,13,24
80,5842.35,1,14,3.5,14,33
85,5911.31,5,14,3.8,14,26
90,5949.64,3,15,4.3,15,29
95,5962.65,4,16,4.6,16,35
100,6031.33,2,17,5.0,16,31
150,6201.23,7,24,9.0,24,52
200,6278.09,3,32,13.3,31,73
250,6269.39,1,40,20.1,39,88
300,6293.44,1,48,24.6,47,105
350,6236.08,1,56,36.0,54,126
400,6311.76,1,63,31.8,62,151
450,6158.36,1,73,47.5,71,179
500,6295.14,1,79,41.3,78,216
550,6281.58,1,87,46.5,85,193
600,6326.42,1,94,47.9,93,213
650,6309.28,1,103,55.8,102,244
700,6250.07,1,111,67.9,110,259
750,6290.50,1,119,59.0,118,261
800,6264.22,1,127,66.7,124,272
850,6168.84,1,137,91.7,133,317
900,6255.54,1,143,85.6,139,322
950,6193.82,1,152,112.1,179,353
1000,6148.40,1,161,120.4,160,373
