users,rps,min,avg,sd,median,max
1,2113.14,0,0,0.1,0,13
2,3548.52,0,1,0.1,1,8
3,4289.12,0,1,0.1,1,4
4,5124.08,0,1,0.1,1,4
5,5087.42,0,1,0.2,1,8
6,5865.45,1,1,0.2,1,8
7,5935.35,1,1,0.2,1,7
8,6114.21,1,1,0.3,1,9
9,6243.15,1,1,0.3,1,13
10,6439.82,1,2,0.3,2,5
11,6551.01,1,2,0.4,2,10
12,6602.14,1,2,0.4,2,6
13,6828.05,1,2,0.4,2,6
14,6877.86,1,2,0.4,2,7
15,6959.43,1,2,0.5,2,15
16,6979.61,0,2,0.6,2,9
17,6960.17,1,2,0.7,2,11
18,7077.81,0,3,0.7,2,9
19,7216.33,0,3,0.7,3,8
20,7154.75,0,3,0.8,3,8
25,7412.00,0,3,1.2,3,36
30,7587.42,0,4,1.3,4,11
35,7743.71,0,5,1.5,4,14
40,7844.60,0,5,1.8,5,15
45,7828.65,0,6,2.1,6,18
50,7956.89,0,6,2.3,6,25
55,8044.41,0,7,2.5,7,22
60,8094.86,0,7,2.7,7,22
65,8081.65,0,8,3.0,8,25
70,8123.94,0,9,3.2,8,25
75,8259.81,0,9,3.2,9,27
80,8174.50,0,10,3.6,9,26
85,8190.98,0,10,3.7,10,31
90,8198.53,0,11,4.0,11,30
95,8289.58,0,11,4.0,11,35
100,8185.57,0,12,4.5,12,35
150,8264.95,0,18,13.4,17,1024
200,8385.55,1,24,8.6,23,59
250,8409.24,1,30,10.2,29,69
300,8314.66,1,36,14.0,34,105
350,8376.52,0,42,44.9,38,1064
400,8413.82,1,47,17.2,46,116
450,8385.98,1,54,22.1,50,127
500,8410.18,1,59,22.7,57,141
550,8439.39,1,65,22.6,63,150
600,8383.97,1,71,28.9,67,172
650,8402.06,0,77,36.5,72,173
700,8361.35,0,83,33.9,82,212
750,8354.19,1,89,32.8,87,199
800,8262.11,0,96,41.2,95,237
850,8389.72,0,101,45.5,97,245
900,8376.79,0,107,53.3,104,250
950,8276.99,0,114,68.6,111,287
