users,rps,min,avg,sd,median,max
1,2571.93,0,0,0.0,0,1
2,4791.09,0,0,0.1,0,1
3,5186.67,0,1,0.1,1,2
4,6385.88,0,1,0.1,1,2
5,6975.88,0,1,0.2,1,3
6,7870.94,0,1,0.2,1,3
7,8268.13,0,1,0.2,1,3
8,8751.60,0,1,0.2,1,3
9,8936.88,0,1,0.3,1,3
10,9368.23,0,1,0.2,1,4
11,9540.60,0,1,0.3,1,4
12,9689.75,0,1,0.3,1,4
13,9814.62,0,1,0.4,1,4
14,9833.66,0,1,0.4,1,5
15,10147.78,0,1,0.4,1,5
16,10124.99,0,2,0.5,1,6
17,10334.87,0,2,0.5,2,5
18,10212.16,0,2,0.6,2,6
19,10500.67,0,2,0.6,2,6
20,10561.86,0,2,0.6,2,7
25,10549.03,0,2,0.9,2,7
30,10619.29,0,3,1.2,2,11
35,10782.67,0,3,1.5,3,10
40,10947.92,0,4,1.7,3,11
45,10760.45,0,4,1.8,4,13
50,10583.15,0,5,2.1,5,14
55,10687.40,0,5,2.3,5,16
60,10670.77,0,6,2.7,5,17
65,10504.91,0,6,2.9,6,18
70,10595.11,0,7,3.3,6,19
75,10869.70,0,7,3.5,6,18
80,10515.80,0,8,3.8,7,21
85,10855.44,0,8,3.9,7,22
90,10958.18,0,8,4.2,7,22
95,10474.07,0,9,4.2,8,26
100,10873.04,0,9,4.4,8,27
150,11201.18,0,13,6.8,12,36
200,11212.94,0,18,26.1,15,1029
250,11310.59,0,22,11.7,19,58
300,11252.84,0,27,14.4,23,70
350,11353.78,0,31,16.8,26,74
400,11362.22,0,35,18.6,31,85
450,11324.59,0,40,21.2,35,93
500,11322.55,0,44,23.5,38,118
550,11428.06,0,48,24.1,42,132
600,11532.07,0,52,24.3,47,120
650,11194.11,0,58,31.2,51,149
700,11208.96,0,62,33.3,56,148
750,11181.13,0,66,33.8,60,159
800,11359.09,0,70,34.8,63,164
850,11332.43,0,75,38.6,66,173
900,11246.00,0,80,41.8,69,176
950,11390.31,0,83,40.0,72,181
