users,rps,min,avg,sd,median,max
1,1024.13,1,1,0.1,1,10
2,1864.27,1,1,0.1,1,10
3,2469.17,1,1,0.2,1,10
4,2865.09,1,1,0.1,1,10
5,3289.66,1,2,0.1,2,11
6,3612.49,1,2,0.1,2,10
7,3921.91,1,2,0.2,2,11
8,4150.45,1,2,0.2,2,11
9,4372.22,2,2,0.2,2,11
10,4355.39,2,2,0.2,2,11
11,4646.93,2,2,0.2,2,12
12,4669.15,2,3,0.2,3,11
13,4458.21,2,3,0.2,3,12
14,4518.78,3,3,0.3,3,12
15,4928.78,2,3,0.2,3,12
16,5033.53,3,3,0.2,3,13
17,4920.79,3,3,0.3,3,13
18,5090.80,3,4,0.2,3,13
19,5151.62,3,4,0.2,4,13
20,4965.47,2,4,0.3,4,13
25,4921.90,3,5,0.3,5,15
30,4944.89,5,6,0.4,6,15
35,5287.28,6,7,0.5,6,17
40,5073.05,7,8,0.4,8,18
45,5359.78,6,8,0.5,8,18
50,5123.52,8,10,0.6,10,20
55,5539.01,9,10,0.4,10,20
60,5461.93,9,11,0.7,11,22
65,5233.81,10,12,0.9,13,23
70,5704.46,12,12,0.5,12,24
75,5284.61,13,14,1.0,15,25
80,5672.29,13,14,0.5,14,24
85,5074.10,15,17,0.6,17,28
90,5499.41,15,16,1.1,16,28
95,5188.69,8,18,1.4,19,27
100,5573.66,17,18,1.3,17,30
150,5111.42,10,29,1.0,29,42
200,5166.62,34,39,1.5,39,54
250,5270.45,41,47,3.0,48,61
300,5725.43,50,52,1.4,52,69
350,5515.78,61,63,1.9,63,80
400,4990.97,70,80,5.4,80,108
450,5637.44,77,80,2.3,79,100
500,5238.78,88,95,6.1,92,111
550,4990.29,97,110,6.3,112,133
600,5487.30,105,109,3.8,108,131
650,5462.47,115,119,3.3,118,142
700,5403.26,124,129,3.7,128,152
750,5180.52,130,144,7.5,140,175
800,5289.13,145,151,3.9,150,172
850,5267.88,150,161,6.1,158,193
900,4913.86,161,182,10.2,184,225
950,4877.01,171,193,9.5,196,214
1000,5271.81,173,189,12.4,185,225
