users,rps,min,avg,sd,median,max
1,2358.54,0,0,0.1,0,1
2,4085.18,0,0,0.1,0,1
3,3950.08,0,1,0.1,1,2
4,3719.13,1,1,0.1,1,2
5,3886.11,0,1,0.2,1,2
6,3763.57,1,2,0.2,2,3
7,3910.64,1,2,0.2,2,3
8,3792.23,1,2,0.2,2,7
9,3661.95,1,2,0.3,3,4
10,3788.34,1,3,0.3,3,5
11,3774.95,1,3,0.3,3,5
12,4054.65,1,3,0.3,3,5
13,3733.51,1,3,0.3,4,6
14,3784.89,1,4,0.3,4,6
15,3694.67,1,4,0.4,4,6
16,3868.07,1,4,0.4,4,6
17,3876.58,2,4,0.4,4,7
18,3866.90,1,5,0.4,5,7
19,4113.97,2,5,0.3,5,12
20,3867.23,2,5,0.5,5,9
25,4141.66,2,6,0.4,6,9
30,3883.33,2,8,0.7,8,11
35,3736.64,2,9,0.8,9,12
40,3908.46,2,10,0.9,10,14
45,3991.41,2,11,0.8,11,15
50,3779.41,2,13,1.1,13,17
55,3936.86,3,14,1.2,14,17
60,3766.11,3,16,1.4,16,20
65,3857.07,3,17,1.5,17,21
70,3669.42,3,19,1.8,19,24
75,3733.37,3,20,1.7,20,25
80,3699.99,4,22,1.3,22,26
85,3744.63,4,23,2.1,23,29
90,3810.90,3,24,2.2,24,29
95,3706.52,5,26,2.4,26,32
100,3523.40,4,28,2.4,29,34
150,3662.62,8,41,3.1,41,49
200,3597.30,10,56,3.6,56,67
250,3795.38,14,66,6.9,67,84
300,3802.43,12,79,7.5,80,99
350,3746.59,19,93,8.8,94,110
400,3854.81,18,104,10.2,105,125
450,3793.53,24,118,11.1,120,148
500,3747.34,22,133,13.4,137,161
550,3566.65,23,154,11.3,157,172
600,3659.96,25,163,11.6,165,194
650,3897.92,27,166,16.2,165,209
700,3942.29,39,177,17.8,171,226
750,3598.83,31,208,17.7,210,242
800,3833.99,40,208,21.3,208,264
850,3925.32,34,215,17.1,213,264
900,4045.07,36,221,20.3,218,281
950,3948.04,39,239,23.0,237,291
1000,3991.58,42,249,24.4,246,303
