users,rps,min,avg,sd,median,max
1,3410.83,0,0,0.0,0,1
2,5045.61,0,0,0.0,0,2
3,5608.32,0,1,0.1,1,3
4,5657.36,0,1,0.2,1,3
5,5651.62,0,1,0.3,1,3
6,5666.75,0,1,0.4,1,4
7,5627.92,0,1,0.5,1,4
8,5700.14,0,1,0.6,1,4
9,5681.80,0,2,0.7,2,5
10,5688.79,0,2,0.9,2,5
11,5665.51,0,2,1.0,2,6
12,5655.51,0,2,1.0,2,6
13,5635.46,0,2,1.2,2,6
14,5678.79,0,2,1.3,2,7
15,5663.47,0,3,1.5,3,8
16,5663.61,0,3,1.6,3,8
17,5659.58,0,3,1.6,3,8
18,5655.66,0,3,1.8,3,8
19,5621.41,0,3,1.9,3,8
20,5694.88,0,4,1.8,3,9
25,5664.29,0,4,2.2,4,9
30,5613.33,0,5,3.3,5,11
35,5669.64,0,6,4.0,6,15
40,5654.08,0,7,3.7,7,15
45,5683.02,1,8,3.2,8,16
50,5646.80,0,9,5.2,9,19
55,5698.88,0,10,5.5,10,22
60,5669.29,0,11,4.4,11,24
65,5675.58,0,11,7.2,11,23
70,5635.26,0,12,7.1,12,25
75,5651.08,2,13,4.5,13,23
80,5606.11,0,14,4.8,14,28
85,5655.65,0,15,8.7,15,32
90,5649.32,0,16,10.6,16,33
95,5643.12,0,17,13.5,16,36
100,5668.28,0,18,12.7,18,36
150,5663.71,4,26,2.2,26,34
200,5765.57,6,35,7.1,35,52
250,5778.71,7,43,18.0,43,68
300,5750.92,9,52,4.1,52,66
350,5721.46,10,61,4.6,61,72
400,5748.76,14,69,11.2,70,91
450,5756.87,17,78,6.3,78,90
500,5732.50,14,87,11.9,87,111
550,5757.04,17,95,9.2,96,114
600,5731.59,14,104,42.8,99,1110
650,5708.63,23,113,10.8,114,131
700,5731.09,26,122,15.3,123,144
750,5738.65,24,130,10.6,132,147
800,5732.88,26,139,9.3,139,160
850,5740.64,27,147,22.1,147,178
900,5723.20,26,156,7.8,157,175
950,5735.04,27,165,8.5,165,182
1000,5727.04,30,173,12.4,175,193
