users,rps,min,avg,sd,median,max
1,1177.93,1,1,0.1,1,3
2,1665.66,1,1,0.1,1,4
3,1723.29,1,2,0.4,2,5
4,1731.10,1,2,0.7,2,6
5,1728.35,1,3,1.0,3,7
6,1732.36,1,3,1.4,3,8
7,1723.00,1,4,1.6,4,9
8,1740.37,1,5,2.0,5,10
9,1746.49,1,5,2.3,5,11
10,1713.39,1,6,3.4,6,13
11,1715.94,1,6,3.5,6,14
12,1732.29,1,7,3.2,7,14
13,1729.64,1,8,3.7,8,16
14,1722.53,1,8,5.4,8,18
15,1731.53,1,9,4.6,9,18
16,1739.49,1,9,4.6,9,19
17,1730.41,1,10,7.6,10,21
18,1732.09,1,10,7.0,10,22
19,1731.15,1,11,6.9,11,22
20,1734.63,1,12,7.6,11,31
25,1723.55,1,15,8.4,15,30
30,1735.39,1,17,11.1,17,35
35,1766.24,1,20,16.1,19,40
40,1771.24,1,23,19.6,22,47
45,1772.37,1,25,21.3,26,52
50,1788.37,1,28,22.9,28,57
55,1775.18,1,31,25.6,31,80
60,1796.76,1,33,28.8,34,68
65,1797.77,1,36,26.1,36,73
70,1795.86,1,39,23.9,39,78
75,1795.77,1,42,19.6,42,83
80,1775.46,1,45,31.6,45,91
85,1769.76,1,48,43.8,44,99
90,1797.40,3,50,6.8,50,80
95,1782.05,4,53,7.6,53,75
100,1769.62,1,56,44.5,56,117
150,1770.73,1,85,69.8,86,171
200,1804.18,6,111,15.4,111,146
250,1792.20,9,139,39.5,140,228
300,1796.96,9,167,46.0,168,281
350,1774.46,1,197,127.9,200,396
400,1798.71,13,222,58.0,222,330
450,1813.56,16,248,24.5,248,300
500,1797.45,18,277,12.6,278,301
550,1796.25,21,305,61.9,301,413
600,1795.83,26,333,77.5,327,476
650,1794.91,21,361,53.2,352,448
700,1789.83,24,390,78.8,385,520
750,1788.37,26,417,162.3,415,699
800,1801.35,29,442,50.1,441,527
850,1806.17,32,469,26.6,471,504
900,1804.62,27,496,136.2,492,739
950,1776.86,38,532,94.0,534,704
1000,1803.54,35,549,191.2,548,856
