users,rps,min,avg,sd,median,max
1,4172.50,0,0,0.0,0,1
2,6536.56,0,0,0.0,0,3
3,7222.70,0,0,0.1,0,3
4,7696.92,0,1,0.1,1,3
5,7793.88,0,1,0.2,1,3
6,7725.75,0,1,0.2,1,4
7,7780.34,0,1,0.3,1,4
8,7758.80,0,1,0.4,1,4
9,7778.55,0,1,0.5,1,4
10,7736.34,0,1,0.5,1,6
11,7710.48,0,1,0.7,1,5
12,7761.38,0,2,0.8,2,5
13,7751.89,0,2,0.8,2,7
14,7714.52,0,2,0.9,2,7
15,7781.35,0,2,0.9,2,6
16,7771.56,0,2,1.1,2,7
17,7740.55,0,2,1.3,2,7
18,7757.25,0,2,1.1,2,6
19,7794.35,0,2,1.5,2,7
20,7773.11,0,3,1.2,3,7
25,7758.58,0,3,1.5,3,10
30,7793.63,0,4,1.8,4,10
35,7747.61,0,5,2.8,5,11
40,7744.56,0,5,3.3,5,13
45,7784.98,0,6,3.3,6,14
50,7750.60,0,6,4.5,7,16
55,7760.48,0,7,4.3,7,16
60,7713.36,0,8,5.0,8,17
65,7748.09,2,8,1.8,8,14
70,7768.62,0,9,6.5,9,21
75,7776.09,0,10,5.1,10,21
80,7762.72,1,10,4.0,10,19
85,7687.62,0,11,6.7,11,23
90,7706.50,0,12,6.2,12,25
95,7746.35,3,12,3.8,12,22
100,7710.22,0,13,8.7,13,29
150,7725.35,3,19,7.9,19,36
200,7715.41,5,26,2.2,26,33
250,7778.06,5,32,13.3,32,61
300,7808.08,8,38,17.8,37,68
350,7874.89,10,44,9.0,45,60
400,7885.63,12,51,13.9,51,77
450,7893.40,13,57,13.3,57,81
500,7911.68,17,63,4.8,63,74
550,7915.53,16,69,9.1,69,87
600,7909.92,20,75,27.3,77,126
650,7906.40,20,82,12.5,82,106
700,7926.02,25,88,7.7,88,105
750,7919.10,19,94,45.6,92,1300
800,7923.73,26,101,9.4,101,118
850,7977.45,25,106,7.9,106,122
900,7939.09,28,113,6.8,113,127
950,7887.56,35,120,10.3,119,139
1000,7863.30,29,126,22.9,125,162
