users,rps,min,avg,sd,median,max
1,3367.14,0,0,0.1,0,7
2,5196.86,0,0,0.1,0,8
3,6003.25,0,0,0.1,0,4
4,6762.86,0,1,0.2,1,8
5,7199.97,0,1,0.2,1,10
6,7371.94,0,1,0.3,1,8
7,7468.86,0,1,0.4,1,5
8,7531.29,0,1,0.5,1,8
9,7568.05,0,1,0.6,1,7
10,7622.04,0,1,0.7,1,5
11,7675.68,0,1,0.9,1,6
12,7699.66,0,2,1.0,1,6
13,7745.86,0,2,1.1,1,11
14,7708.88,0,2,1.2,1,8
15,7771.00,0,2,1.3,2,9
16,7797.47,0,2,1.4,2,11
17,7786.54,0,2,1.5,2,9
18,7826.71,0,2,1.6,2,10
19,7799.86,0,2,1.8,2,11
20,7820.96,0,3,1.9,2,12
25,7889.57,0,3,2.4,2,14
30,7883.41,0,4,2.9,3,17
35,7896.46,0,4,3.5,3,22
40,7904.01,0,5,4.0,4,22
45,7907.68,0,6,4.7,4,25
50,7904.69,0,6,5.2,5,30
55,7939.74,0,7,5.7,5,32
60,7924.73,0,8,6.4,6,37
65,7957.66,0,8,6.7,6,36
70,7931.30,0,9,7.4,7,40
75,7929.77,0,9,8.1,7,42
80,7888.68,0,10,8.6,8,43
85,7889.43,0,11,9.3,8,71
90,7892.46,0,11,10.1,8,51
95,7868.01,0,12,10.7,9,55
100,7924.34,0,13,10.5,10,55
150,7910.51,0,19,15.7,15,81
200,7897.83,0,25,22.9,18,112
250,7882.86,0,32,24.6,27,145
300,7882.65,0,38,35.1,28,178
350,7860.06,0,44,41.4,32,205
400,7888.24,0,51,40.5,43,199
450,7893.06,0,57,52.0,42,255
500,7876.91,0,63,61.1,43,301
550,7865.96,0,70,61.8,55,257
600,7860.92,0,76,62.0,62,268
650,7880.12,0,82,59.4,74,280
700,7854.79,0,88,66.6,80,347
750,7858.73,0,95,71.6,81,325
800,7871.77,0,101,67.2,97,331
850,7850.83,0,108,89.9,88,455
900,7868.04,0,114,108.9,75,491
950,7866.84,0,120,85.7,108,352
