users,rps,min,avg,sd,median,max
1,1469.83,1,1,0.0,1,4
2,2270.94,0,1,0.1,1,2
3,9895.57,0,0,0.0,0,2
4,11188.43,0,0,0.1,0,3
5,12226.31,0,0,0.1,0,2
6,12785.94,0,0,0.1,0,2
7,13187.69,0,1,0.2,1,2
8,13529.35,0,1,0.2,1,2
9,13741.02,0,1,0.2,1,3
10,13936.33,0,1,0.2,1,2
11,14095.64,0,1,0.3,1,4
12,14139.25,0,1,0.3,1,3
13,14216.94,0,1,0.3,1,3
14,14284.83,0,1,0.4,1,5
15,14336.68,0,1,0.4,1,4
16,14381.33,0,1,0.4,1,4
17,14391.45,0,1,0.5,1,7
18,14465.76,0,1,0.5,1,6
19,14541.34,0,1,0.5,1,7
20,14519.59,0,1,0.5,1,5
25,14664.72,0,2,0.7,2,6
30,14703.34,0,2,0.9,2,9
35,14707.16,0,2,1.1,2,7
40,14717.50,0,3,1.3,3,10
45,14751.06,0,3,1.5,3,12
50,14743.98,0,3,1.7,3,14
55,14823.03,0,4,2.1,3,16
60,14749.94,0,4,2.2,4,15
65,14792.83,0,4,2.3,4,15
70,14805.31,0,5,2.6,4,16
75,14781.92,0,5,3.1,4,19
80,14839.42,0,5,3.0,5,20
85,14829.79,0,6,3.3,5,22
90,14831.43,0,6,3.9,5,23
95,14810.77,0,6,4.1,5,30
100,14824.18,0,7,4.2,6,25
150,14803.55,0,10,7.9,8,47
200,14796.68,0,13,10.8,10,58
250,14761.42,0,17,11.8,14,61
300,14780.59,0,20,17.0,14,77
350,14725.25,0,24,15.8,21,87
400,14799.15,0,27,22.3,21,108
450,14712.93,0,30,35.5,14,142
500,14663.95,0,34,24.3,26,100
550,14667.85,0,37,32.9,25,137
600,14636.21,0,41,28.1,36,115
650,14644.35,0,44,22.4,41,111
700,14640.48,0,48,27.8,44,121
750,14673.75,0,51,22.2,52,125
800,14605.25,0,54,26.3,57,115
850,14611.18,0,58,35.0,49,157
900,14527.91,3,61,22.6,59,129
950,14605.53,0,64,35.4,69,179
