users,rps,min,avg,sd,median,max
1,7613.51,0,0,0.0,0,0
2,13214.98,0,0,0.0,0,1
3,15685.82,0,0,0.0,0,2
4,16538.56,0,0,0.0,0,3
5,17693.21,0,0,0.1,0,3
6,18731.58,0,0,0.1,0,4
7,19495.25,0,0,0.1,0,3
8,20212.65,0,0,0.1,0,3
9,20552.72,0,0,0.1,0,4
10,20993.86,0,0,0.1,0,4
11,21381.16,0,1,0.1,1,3
12,21465.40,0,1,0.1,1,3
13,21574.07,0,1,0.1,1,4
14,21571.92,0,1,0.2,1,4
15,21779.19,0,1,0.2,1,4
16,21776.35,0,1,0.2,1,4
17,22081.73,0,1,0.2,1,5
18,22124.89,0,1,0.3,1,4
19,22433.54,0,1,0.3,1,4
20,22556.00,0,1,0.3,1,4
25,23499.24,0,1,0.5,1,5
30,23484.74,0,1,0.7,1,7
35,23620.52,0,1,0.9,1,10
40,23316.09,0,2,1.3,1,10
45,23167.26,0,2,1.8,1,13
50,23546.31,0,2,1.6,2,12
55,23682.00,0,2,1.9,2,13
60,22929.49,0,3,2.8,1,19
65,23818.57,0,3,2.5,2,17
70,23716.91,0,3,2.9,2,21
75,23648.64,0,3,3.3,2,20
80,23564.66,0,3,3.9,2,22
85,23431.93,0,4,3.8,2,27
90,23680.01,0,4,4.3,2,23
95,23593.45,0,4,4.2,2,26
100,23581.94,0,4,4.9,2,25
150,24115.11,0,6,7.4,3,46
200,23749.85,0,8,11.9,3,53
250,24017.42,0,10,10.1,6,46
300,24115.01,0,12,15.3,6,68
350,23973.45,0,15,19.1,8,79
400,24257.82,0,16,22.1,6,92
450,24084.31,0,19,20.9,11,74
500,24080.65,0,21,25.3,10,96
550,23840.93,0,23,23.4,13,84
600,24187.41,0,25,24.6,21,100
650,24028.35,0,27,28.5,18,117
700,23782.91,0,29,26.4,31,106
750,24105.03,0,31,27.3,25,105
800,23934.23,0,33,29.7,29,99
850,24020.60,0,35,28.7,37,116
900,23969.71,0,37,30.5,38,118
950,24031.23,0,39,39.1,29,163
1000,23662.65,0,41,29.6,44,117
